Unnamed: 0	Text	Class
0	END OF CONTRACT	Nature of Consideration
1	"                CO-BRANDING AND ADVERTISING AGREEMENT
"	Nature of Consideration
4	"(a) ""CONTENT"" means all content or information, in any medium,
provided by a party to the other party for use in conjunction
with the performance of its obligations hereunder, including
without limitation any text, music, sound, photographs, video,
graphics, data or software. Content provided by 2TheMart
is referred to herein as ""2TheMart Content"" and Content
provided by i-Escrow is referred to herein as ""i-Escrow Content.""
"	Nature of Consideration
6	"(c) ""CUSTOMERS"" means all users who access Co-Branded Site.
"	Nature of Consideration
9	"(f) ""INFORMATION TRANSFER MECHANISM"" means the
mechanism by which 2TheMart transfers to i-Escrow
information to populate the applicable i-Escrow
transaction and user registration forms.
"	Nature of Consideration
12	"(i) ""SERVICES"" means i-Escrow's implementation
and performance of the Escrow Services as of the
Effective Date, as modified over time.
"	Nature of Consideration
15	"(l) ""TRANSACTION INQUIRY"" means a Customer's
submission of i-Escrow's standard New Transaction
Inquiry form (or its successor) on or through the
Co-Branded Pages.  Currently this means entry of a
description and price of merchandise by a user (buyer
or seller) who agrees to abide by the terms and
conditions of the Services, together with email address
of the other party, regardless of whether or not
any Transaction is completed.
"	Nature of Consideration
18	"2.1 OVERVIEW.  As set forth herein, 2TheMart will promote
Services to its auction users (buyers and sellers),
and i-Escrow shall develop Co-Branded Site,
and develop the Information Transfer
Mechanism working with 2TheMart to make
Services available seamlessly to Customers.
Unless otherwise specified, each party shall
be responsible for all development, hosting
and other costs associated with the pages
resident on their servers and all emails to
users they send.
"	Nature of Consideration
19	"2.2 INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT.
The parties shall negotiate in good faith to determine
the initial operation of the Information
Transfer Mechanism and to describe such
operation and development fees, in a
statement of work (""SOW"").  Each party shall
make available sufficient and qualified
engineers to negotiate the SOW.  No SOW
shall be binding on the parties unless
mutually approved by both parties.  In the
event that the parties are unable to agree
to an SOW within 2 months following the
Effective Date, either party may, in its
sole discretion, terminate this Agreement by
providing written notice.
"	Nature of Consideration
21	"2.3 LAUNCH TIMING.  Each party shall use good faith
and reasonable efforts to expeditiously develop the
Co-Branded Pages and the Information
Transfer Mechanism.  In the event that,
after using such efforts, the Launch Date
has not occurred within 4 months following
the Effective Date, either party may
terminate this Agreement by providing
written notice.  If
"	Nature of Consideration
22	"only one party has used good faith and reasonable development
efforts, only that party may exercise the
foregoing right to terminate.
"	Nature of Consideration
23	"2.4 RESTRICTIONS ON COMMUNICATIONS.  i-Escrow may place
banner advertising on the Co-Branded Site
upon prior written approval of 2TheMart,
which shall be at the discretion of 2TheMart.  All
advertising revenue arising from the banner ads shall be
solely i-Escrow's.  i-Escrow shall not run
banner advertisements on the Co-Branded Site
for any of 2TheMart's competitors. 2TheMart
shall provide in writing, a list of companies they would
like to exclude, including every time
they wish to change this list.
"	Nature of Consideration
24	"2.5 SERVICE PERFORMANCE OF INFORMATION TRANSFER
MECHANISM.  The parties each shall in good faith work to
provide reasonable service levels with respect to the
operation of the portions of the Information Transfer
Mechanism in their control.
"	Nature of Consideration
26	"2.6 PROGRAM REVIEW MEETINGS.  The parties shall meet, at
least once per month either in person, or by telephone, to
coordinate the implementation of this agreement over time.
"	Nature of Consideration
27	"3. PROMOTION.
"	Nature of Consideration
29	"(a) To every seller and high bidder through means
including, but not limited to, end of auction
emails containing links, such that, it shall be
possible for the buyer or seller to initiate a
Transaction Inquiry with i-Escrow, without
having to re-enter all their personal or
transaction related information.
"	Nature of Consideration
32	"(d) By displaying a text or graphic link to a
page containing information about Services on
all auction item pages and bidding pages to
educate bidders about i-Escrow. 2TheMart
may use the ""Escrow Services Description"" attached
in Exhibit A for creating such a page.
"	Nature of Consideration
33	"5. PAYMENT.
"	Nature of Consideration
